record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,step_compute_seconds,swap_seconds,mean_step_seconds,min_step_seconds,max_step_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios,valid_cells,nodata_cells,non_combustible_cells,initially_combustible_cells,burned_hectares,combustible_burned_percent,terrain_load_seconds
scenario,0,3448303988357642629,1024,max_steps,-1,887820,84.6691131591796875,1073741824,0.0374442430000000020529071775854,4.30447295300000032369780456065,4.30270475599999890903291088762,0.00164604500000000136122890737056,0.00420358686816406281611113726626,0.00335159299999999993335819681306,0.00978468600000000077177020330055,4.34191719600000070045098254923,249447919.809010803699493408203,,,,,1048576,0,52430,996146,,89.1254896370612357259233249351,
scenario,1,1661078409511556752,1024,max_steps,-1,886399,84.533596038818359375,1073741824,0.0382471460000000026968614008638,4.18958589200000020014158508275,4.18831963099999171618037507869,0.00114992499999999825757712734742,0.00409139247265625019545076668237,0.00336642100000000008344636093227,0.00965734499999999947139617262337,4.22783303799999998773273546249,256288294.757318675518035888672,,,,,1048576,0,52392,996184,,88.9794455642732629030433599837,
scenario,2,12318076474056867195,1024,max_steps,-1,887627,84.650707244873046875,1073741824,0.032220882999999998774764975451,4.19117428399999969457212500856,4.18941345799999798060753164464,0.00164681600000000233352537293285,0.00409294363671874970173059082867,0.00337864400000000009161027492155,0.00633157199999999972112041390915,4.22339516699999961701905704103,256191165.349305272102355957031,,,,,1048576,0,51977,996599,,89.0656121469116470734661561437,
scenario,3,10981046395138439440,1024,max_steps,-1,886562,84.54914093017578125,1073741824,0.0320039020000000007382112698906,4.23121689400000011715974324034,4.22997908200000249934191742796,0.00111548000000000029074964658093,0.00413204774804687511441381175814,0.00335522899999999993717048063502,0.00618736800000000038146641401227,4.26322079599999970156432027579,253766670.652738213539123535156,,,,,1048576,0,52600,995976,,89.0143939211386623355792835355,
scenario,4,2372613389500062495,1024,max_steps,-1,880411,83.962535858154296875,1073741824,0.0315714819999999979360794100103,4.19196253099999971425404510228,4.19047355399999510439101868542,0.00139350199999999958822005652337,0.00409371340917968722095121592019,0.00335987800000000016997780960537,0.00488483900000000019481216639861,4.22353401300000008689039532328,256142991.751373559236526489258,,,,,1048576,0,52493,996083,,88.3873131054339893353244406171,
scenario,5,5989941489866675944,1024,max_steps,-1,883271,84.235286712646484375,1073741824,0.031617408999999999097418879046,4.16706552099999960603327053832,4.16571816800000327418729284545,0.00124106700000000281375323041289,0.00406939992285156211526686576008,0.00335067099999999994455746055166,0.00464597599999999957831597896529,4.19868292999999948023059914703,257673371.966161638498306274414,,,,,1048576,0,52274,996302,,88.6549459902720258241970441304,
scenario,6,11885432127967482550,1024,max_steps,-1,884951,84.395503997802734375,1073741824,0.0324790829999999988708658804626,4.17220441200000013992621461512,4.17071253700000088571187006892,0.00139298300000000171636194146174,0.00407441837109375013664669396007,0.00334391899999999988452037413822,0.00469473899999999985666043755828,4.20468349500000027063606466982,257355996.487546980381011962891,,,,,1048576,0,52495,996081,,88.8432768017862031229014974087,
scenario,7,2917815717847516993,1024,max_steps,-1,880401,83.961582183837890625,1073741824,0.0321831320000000031811282497074,4.20559828100000032691241358407,4.20462712600000099172348200227,0.000869225000000001029806795393995,0.00410702957128906281925040389069,0.00336958699999999984273091335751,0.00479883599999999990032284458152,4.23778141300000044111584429629,255312503.063104599714279174805,,,,,1048576,0,52587,995989,,88.3946509449401531810508458875,
scenario,8,4832274043363942612,1024,max_steps,-1,877637,83.697986602783203125,1073741824,0.0318979210000000026892230664544,4.17555154999999977860625222092,4.17405048899999719935749453725,0.00139912300000000038024960957728,0.0040776870605468747837951681845,0.00337527799999999978536324718448,0.00480971600000000033825475753702,4.20744947099999944128967399593,257149698.942167311906814575195,,,,,1048576,0,52479,996097,,88.1075838999615541524690343067,
scenario,9,14948879451253332277,1024,max_steps,-1,879229,83.849811553955078125,1073741824,0.0322280259999999998954400837192,4.19016659299999982835061018704,4.18919752700000014300485418062,0.000866159999999999391344374100044,0.00409195956347656233237364276079,0.00336194300000000004940980957713,0.00486259699999999975283948572269,4.22239461900000012661848813877,256252776.630353897809982299805,,,,,1048576,0,52497,996079,,88.2690027598212623161089140922,
