record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,step_compute_seconds,swap_seconds,mean_step_seconds,min_step_seconds,max_step_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios
scenario,0,3448303988357642629,500,max_steps,-1,7359,2.8072357177734375,131072000,0.0604939999999999991620036610129,7.87594149999999970646058500279,7.87586538499999821993924342678,6.3349999999999986386562365881e-06,0.0157518829999999977753422086835,0.014901374999999999690358798432,0.0314771250000000016311396677793,7.93643549999999997623945091618,16642073.8396799936890602111816,,,,
scenario,1,1661078409511556752,500,max_steps,-1,11881,4.5322418212890625,131072000,0.0385039579999999978521252330665,7.9553621669999996512956386141,7.95527033699999908122890701634,1.03810000000000213953368910502e-05,0.0159107243339999988862576429938,0.0151794170000000006037765842848,0.0352033750000000020263790645458,7.99386612499999937853090159479,16475931.2333643008023500442505,,,,
scenario,2,12318076474056867195,146,extinguished,146,640,0.244140625,38273024,0.0383418749999999974864550722486,2.32517500000000021387336346379,2.32515166800000061542164075945,2.49900000000000139992813348588e-06,0.015925856164383564439468443652,0.015699583999999999067709310907,0.016340334000000001496433199577,2.36351687500000018360424292041,16460276.7533626481890678405762,,,,
scenario,3,10981046395138439440,5,extinguished,5,1,0.0003814697265625,1310720,0.0378336250000000026694202404087,0.0794947500000000029096725029376,0.0794939179999999967485280194524,4.19999999999999988935140847381e-08,0.015898950000000001969713281369,0.0157392499999999997684074770632,0.0161314590000000007696812076574,0.117328375000000012517986647254,16488132.8641199562698602676392,,,,
scenario,4,2372613389500062495,22,extinguished,22,38,0.014495849609375,5767168,0.0376246670000000005273932401906,0.356554166000000005709580364055,0.356549749999999998628652519983,4.58999999999999914643121099941e-07,0.0162070075454545450832632980109,0.0158130829999999986124059603299,0.0168377499999999985513809974691,0.394178833000000006236973604246,16174731.779743108898401260376,,,,
scenario,5,5989941489866675944,500,max_steps,-1,3499,1.3347625732421875,131072000,0.0380511249999999981441511920366,8.02335295800000025678855308797,8.02326606900000882660606293939,8.4590000000000015113917062326e-06,0.016046705915999999458865232782,0.0155489579999999998766169184705,0.0416522500000000017728041257214,8.0614040830000011084166544606,16336312.3479828331619501113892,,,,
scenario,6,11885432127967482550,114,extinguished,114,406,0.154876708984375,29884416,0.0385664589999999973812805365014,1.94135412499999993052313129738,1.94131841900000079448318501818,5.08599999999999839977310456263e-06,0.0170294221491228067733025852704,0.0159560420000000001417017614358,0.0536792920000000034486120625843,1.97992058399999981688210937136,15393593.3764789048582315444946,,,,
scenario,7,2917815717847516993,500,max_steps,-1,7794,2.973175048828125,131072000,0.0388342500000000007132072710192,8.1383590419999993770261426107,8.13824136999999758756985102082,1.18160000000000356081995486757e-05,0.0162767180840000004471423977748,0.0156572089999999983223055721737,0.0222472090000000004283986498876,8.17719329200000011326210369589,16105458.0319657530635595321655,,,,
scenario,8,4832274043363942612,4,extinguished,4,1,0.0003814697265625,1048576,0.0392127499999999976076914265377,0.0650876660000000023531541160082,0.0650867489999999992988932717708,8.20000000000000063478614183675e-08,0.0162719165000000005882885290021,0.0160687909999999989363317354218,0.0164828750000000009978684545331,0.104300416000000006899739446453,16110210.4967168420553207397461,,,,
scenario,9,14948879451253332277,19,extinguished,19,17,0.0064849853515625,4980736,0.0385494170000000024867148340491,0.308796750000000008729017508813,0.308787582000000004889272986475,3.7499999999999995656076233301e-07,0.016252460526315789385298771208,0.0159442090000000008531699791092,0.0170156249999999995003996389187,0.347346166999999983460156727233,16129496.1815498378127813339233,,,,
