record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios
scenario,0,3448303988357642629,10,extinguished,10,4,0.000381469726562,10485760,0.040626992,0.163342464,0.203969456,64194941.984,,,,
batch,,,,,,,0.000381469726562,10485760,0.040626992,0.163342464,0.203969456,64194941.984,0.203969456,1,1,0
