record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios
scenario,0,3448303988357642629,4096,max_steps,-1,193866,4.62212562561,17179869184,0.046675167,85.485953792,85.532628959,200967158.018,,,,
scenario,1,1661078409511556752,4060,extinguished,4060,175133,4.17549610138,17028874240,0.030374792,88.761097125,88.791471917,191850650.697,,,,
scenario,2,12318076474056867195,58,extinguished,58,112,0.00267028808594,243269632,0.035114084,1.429355833,1.464469917,170195291.042,,,,
scenario,3,10981046395138439440,154,extinguished,154,566,0.0134944915771,645922816,0.0309215,3.440223208,3.471144708,187756077.716,,,,
scenario,4,2372613389500062495,109,extinguished,109,260,0.00619888305664,457179136,0.031624791,2.563568834,2.595193625,178336984.729,,,,
batch,,,,,,,1.76399707794,35555115008,0.174710334,181.680198792,181.854909126,195701651.828,36.3709818252,5,4,1
