record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,step_compute_seconds,swap_seconds,mean_step_seconds,min_step_seconds,max_step_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios,valid_cells,nodata_cells,non_combustible_cells,initially_combustible_cells,burned_hectares,combustible_burned_percent,terrain_load_seconds
scenario,0,42,500,max_steps,-1,391982,37.38231658935546875,524288000,0,0.0098555929999999992985326713324,0.0098555929999999992985326713324,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,1,43,500,max_steps,-1,402519,38.387203216552734375,524288000,0,0.00951371500000000071273209556466,0.00951371500000000071273209556466,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,2,44,500,max_steps,-1,399466,38.09604644775390625,524288000,0,0.00955508300000000067309091633661,0.00955508300000000067309091633661,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,3,45,500,max_steps,-1,394957,37.666034698486328125,524288000,0,0.00976550200000000055700066781128,0.00976550200000000055700066781128,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,4,46,500,max_steps,-1,391845,37.369251251220703125,524288000,0,0.00956060400000000032427749374619,0.00956060400000000032427749374619,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,5,47,500,max_steps,-1,397497,37.908267974853515625,524288000,0,0.00956067399999999990856114351345,0.00956067399999999990856114351345,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,6,48,500,max_steps,-1,393088,37.48779296875,524288000,0,0.00972927399999999956148322155514,0.00972927399999999956148322155514,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,7,49,500,max_steps,-1,401938,38.33179473876953125,524288000,0,0.00953142899999999924920413008067,0.00953142899999999924920413008067,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,8,50,500,max_steps,-1,395066,37.67642974853515625,524288000,0,0.00954061699999999950072560039871,0.00954061699999999950072560039871,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,9,51,500,max_steps,-1,391209,37.308597564697265625,524288000,0,0.00976086399999999930476857201711,0.00976086399999999930476857201711,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,10,52,500,max_steps,-1,404147,38.542461395263671875,524288000,0,0.00953420299999999977524911543014,0.00953420299999999977524911543014,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,11,53,500,max_steps,-1,398526,38.00640106201171875,524288000,0,0.00955037400000000036293101857154,0.00955037400000000036293101857154,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,12,54,500,max_steps,-1,393782,37.55397796630859375,524288000,0,0.0110394680000000001973692320689,0.0110394680000000001973692320689,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,13,55,500,max_steps,-1,400175,38.163661956787109375,524288000,0,0.0096522770000000007728502282589,0.0096522770000000007728502282589,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,14,56,500,max_steps,-1,396995,37.860393524169921875,524288000,0,0.00954566599999999952641527301012,0.00954566599999999952641527301012,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,15,57,500,max_steps,-1,394876,37.6583099365234375,524288000,0,0.00973455299999999995597121937863,0.00973455299999999995597121937863,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,16,58,500,max_steps,-1,399672,38.115692138671875,524288000,0,0.00953977500000000033786307085393,0.00953977500000000033786307085393,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,17,59,500,max_steps,-1,399149,38.065814971923828125,524288000,0,0.00956310900000000019272050622021,0.00956310900000000019272050622021,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,18,60,500,max_steps,-1,397237,37.883472442626953125,524288000,0,0.00973460399999999913267512141601,0.00973460399999999913267512141601,0,0,0,0,0,0,,,,,0,0,0,0,,0,
scenario,19,61,500,max_steps,-1,399119,38.062953948974609375,524288000,0,0.00953291099999999981540188542795,0.00953291099999999981540188542795,0,0,0,0,0,0,,,,,0,0,0,0,,0,
batch,,,,,,,37.87634372711181640625,10485760000,0,0.193800295000000066814038746088,0.193800295000000066814038746088,0,1.93800295000000082806020790249e-05,,,0,54106006391.785919189453125,0,20,0,20,,,,,,,0
